Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31,25yr_mnsn,50yr_mnsn,100yr_mnsn,25yr_mnsn_b31,50yr_mnsn_b31,100yr_mnsn_b31
55,80.32218876284453,94.96785846921064,110.9372442099556,68.66664506122949,79.89239073406394,92.06682128847426,89.27089423407214,105.47642186021685,123.1089540228004,86.45172136419798,105.50760074207422,127.17526340000995,98.66550069640158,120.64344623596482,145.60969047891416
56,80.28179687195816,93.3103092401646,107.11537618574944,72.2594795464269,83.49302410424619,95.28275755265275,86.32454715633692,100.36329576504532,115.2596905937062,87.74276412336363,103.81198311701588,121.00005687055098,93.45573996274146,110.84996839543984,129.63061395486852
57,77.00933159519838,90.50930283930312,105.18182973588512,69.4199324835569,79.93664652574215,91.07541646513812,83.99507698964048,99.23257670378952,115.75120742839692,83.37559516822344,100.56768563187212,119.63474615708915,92.92736255527296,112.7209365591832,134.4376189936893
58,80.02622009141861,93.93564230753472,108.81848201755768,70.28941661176103,80.80844556543627,91.85772211713616,87.97114808131552,103.60484772398408,120.16997191652408,86.33305266726741,103.74277747373272,123.12141637587824,96.66195168100752,116.88945027196658,139.38100461858176
59,84.53806547755761,99.77772684298942,116.4238334741239,78.53739576356945,92.01097483488208,106.65940401105136,89.45055063395264,105.85264237031215,123.81309326907804,91.2735490341088,109.57746797263306,129.37439199931038,95.71150749760838,114.58818166235685,135.06720518505608
60,78.61891976337114,91.70204347290588,105.59838944208845,70.4407252594382,81.2252263765307,92.51923068903436,85.37315851472358,99.69542727516432,114.87240768224024,85.69050722495228,102.04477911978856,119.85143572638852,94.09987922189062,112.4148496269867,132.42253546585115
61,76.69978288813518,88.88077762283024,101.71447820471778,70.85243676991394,81.35155992256578,92.30444499745828,81.90603447132801,95.10477654496138,108.97057160203202,83.17563148797338,98.34070042708623,114.60562399220484,89.82083955739665,106.63637919184876,124.71035040744724
62,75.75209347283379,87.57096046554555,100.05059607987624,69.56797087481083,79.24735798049761,89.20877836189385,81.27985175925066,94.43850950955512,108.283706481399,81.04248856595537,95.5810649522825,111.32635431468891,88.62603785813961,105.19340073716624,123.12415499054735
63,84.57544865886668,99.3513389283218,115.19824128748046,80.88743795471983,94.87982544922626,109.98564798071111,87.46476072751148,102.745239461742,119.06469495833126,92.19666303092008,110.80985315049004,131.3969884231745,95.22770977208334,113.83851543999847,134.35764502198717
64,84.69206687118336,99.33333170486956,114.95253937766915,75.57156631658859,88.35138372801109,101.94831785568189,91.37463757149312,107.04802845028355,123.75979248047014,90.83723793100236,109.21097742415132,129.68123076902813,99.75772043979956,120.20339950578916,143.3214075459861
65,80.967492114494,95.05091522003308,110.1456467904696,69.95991560009789,80.43722459237996,91.32465398337368,89.90641839691845,105.72328844943078,122.57350832383284,87.8187159007931,106.0426269479112,126.98449342441404,99.92883848246262,121.86342714013388,147.4281792020871
66,77.33889835640856,90.46872915716622,104.6084779858185,69.65637298434062,79.83316701508772,90.46105289667219,84.15480822176866,99.04104990032047,114.9429858474159,81.33557908647066,96.48773774087373,113.13855032351138,88.72737010686346,105.73324884810457,124.63332024664938
67,84.04931610458594,99.57202722662808,116.56516106524217,74.9470690057436,87.07631666619159,99.75688041191019,91.72146429200616,109.58249019743376,129.20826160666567,88.72745864579562,106.49838848684536,125.92693328066376,98.83226605863368,119.226111641033,141.5000343731436
68,81.3911492097998,96.91401225476676,114.17777242155675,69.2224059090827,80.04697736719368,91.59258478720103,91.36604604257604,109.3608719240121,129.253697078831,89.80803598214233,108.4682445052089,129.15480599617172,100.58689908587549,121.86772396630464,145.4502277065171
69,83.8784105747277,98.5425612935516,114.16126185733675,80.62759104304786,94.56093866429426,109.35210002972201,86.31814933592231,101.53845277664,117.80471179020144,90.06635846146168,107.80681125734246,126.94242300203229,94.79453726743888,113.36691211939936,133.4793346874376
70,81.71181733489203,95.81509577503928,110.91745816847,76.4267205955751,88.73071346838509,101.6941657682568,86.10919132900192,101.55126027847416,118.1623163575864,86.14397888863543,102.2986422685699,119.63275927302344,92.24739814209292,110.1501080753522,129.47466540400575
71,76.93549693418251,91.08894007993383,106.28486209470933,69.2841583234349,81.1635646770528,93.85774262012059,83.13460712321528,98.60448873359806,115.17129779649964,83.05241538722258,100.61270940498802,119.90559446965808,91.28457699290172,110.7937246748784,132.2204434648253
72,77.78212133930481,90.98395726488408,105.22932305733,68.98667014402865,78.78337211497735,89.00386191902228,85.4498583509486,100.47550957324738,116.5272985730752,83.55883463104006,99.89639189369076,118.22531507922112,92.76611655236464,111.67176718709918,132.8578500324363
74,77.5455076693749,92.23980136645017,108.63538754255364,71.14138045373137,82.34688811222968,94.17452369915975,83.75844465526748,101.18061843572804,120.68527490319964,80.87937074548643,97.6040355938684,116.69221656060496,88.90357846766312,109.00528913340472,132.14062527122144
76,80.53210060730713,95.63208548821136,112.25104035720734,81.09086486165994,96.09878771362405,112.681021999467,79.34393487161329,94.4339859951609,110.99891788707647,84.09586917860575,101.80572658599134,121.39120072689764,83.07907505602378,100.73783130473328,120.42818801963864
79,77.24431410755399,91.3037461245531,106.77557556304804,74.30867799896524,87.95725483483096,103.5093925804813,79.54014629795076,93.68772850968266,108.85533452616863,82.73140888722861,99.79537514539976,118.7642418130632,85.39871245511118,101.79199910963146,119.28159486037912
80,77.97065103838615,92.1123659513082,107.31938805559274,69.11630476048447,79.94139864177072,91.34291638837364,85.5324236908364,101.49684715026892,118.5276476038811,86.39297627181911,104.26930902190982,123.80262865670166,95.03515452228676,115.24432835942268,137.2857365898474
81,73.02825083220812,84.97628246122993,97.79110976250414,66.8691281990695,76.66727023744602,86.95667993634792,78.30267351091211,91.60629902503774,105.86952826001504,77.6958683789696,92.3779936741014,108.69465332098171,83.54763935981872,99.98505707255772,118.45039518895278
82,79.02706943728849,92.10798815205604,106.06479387303771,71.16473502094405,81.50929227647774,92.20312633075034,86.11609477160128,100.80106259408014,116.40596026998284,85.5877234423054,102.31563502019657,120.60842628698776,95.5392232482318,114.74093068754831,135.62607364042208
83,74.79368111111131,87.8370312965004,102.15872661517132,67.16653211545929,77.14006950159006,87.6029762665328,81.70668051006177,96.6812984894858,113.1815608404226,80.94096591869227,97.01616141041642,114.89039372336453,89.15112882961775,107.4699436669301,127.89885484122216
87,77.44790530369391,91.18314090935849,105.96831291357906,70.19405115886246,81.76099162785628,94.06546366310721,83.35364264847432,98.40341266204612,114.56607827286425,84.57084046067463,101.43533195244358,119.70618005062497,92.36108221578098,110.58634946366249,130.1721548204444
88,76.94167019116537,90.66580698461902,105.65416095808328,77.88216673716177,91.95625208430603,107.5012799053298,75.54432967363746,88.79145014089276,103.1081019196189,83.6020483376638,100.40908279219305,118.98341806546998,79.8272576455296,94.93669477826712,111.22890493995445
89,77.91244982008085,92.22451966530797,107.92629676732,79.89191591976947,94.5644450588813,110.62279343151091,75.18397591932386,88.95981830044438,104.13505911257091,86.99722065505146,105.61593970148928,126.2106624578925,81.3593365744355,97.58129056598356,115.14341246605696
90,76.01856637413641,89.50353219834945,104.37467505054993,76.61680591724627,90.27025974460982,105.4104944862042,74.92218175336141,88.11565942937082,102.60987502750127,83.40168681122839,100.6923179800674,120.05854203453757,80.44040827329638,96.02085807864964,113.04290570662864
91,81.18710321269539,95.18991717092482,110.2719513866412,75.32320049790023,87.88275367708657,101.33982768515915,85.98904362890859,100.90468673937684,117.00917814168396,87.93697360396419,104.94534077831042,123.48215295819732,92.62713859943888,110.52543378245385,130.17631697692588
92,87.98927943233828,107.6606095328168,130.575579660654,97.74996718340539,122.0501870461971,150.08533705500864,78.06920589619381,91.84956929397684,106.74013588620063,91.37902546435036,114.95399487342688,143.98534599857933,80.52259238870063,95.68190604674749,111.95792285853793
100,82.57947095388846,97.38994288575786,113.50801110539088,85.50766833974008,101.69228493792647,119.50848689915343,79.17368070328587,92.39558675547428,106.44215655226908,84.67843984934024,101.6738536321024,120.4720524453899,83.78869650715802,100.25236053795118,118.66843358440842
